formula,scenarioCount,avgHomeGoals,avgAwayGoals,avgTotalGoals,avgHomeWinRate,avgDrawRate,avgAwayWinRate,avgBlowoutRate3Plus,homeAdvantageBias,closeGameScenarioCount,closeGameAvgTotalGoals,closeGameDrawRate,closeGameBlowoutRate3Plus,homeDominantScenarioCount,homeDominantConversion,awayDominantScenarioCount,awayDominantConversion
blended_02_36_w70_30,625,3.838,3.836,7.675,0.5002,0.0000,0.4998,0.3648,0.0004,169,7.715,0.0000,0.3145,200,0.7140,200,0.7135
blended_04_34,625,3.839,3.843,7.682,0.4993,0.0000,0.5007,0.3490,-0.0014,169,7.700,0.0000,0.3132,200,0.6826,200,0.6850
blended_10_62_w40_60,625,7.254,7.254,14.508,0.5004,0.0000,0.4996,0.5197,0.0009,169,14.595,0.0000,0.4351,200,0.7794,200,0.7787
blended_22_78,625,10.123,10.124,20.247,0.5003,0.0000,0.4997,0.5134,0.0005,169,20.314,0.0000,0.4530,200,0.7404,200,0.7397
blended_25_75,625,10.186,10.189,20.376,0.4998,0.0000,0.5002,0.5030,-0.0004,169,20.438,0.0000,0.4530,200,0.7231,200,0.7217
legacy_base60,625,4.021,4.020,8.041,0.4997,0.0000,0.5003,0.3629,-0.0006,169,8.073,0.0000,0.3225,200,0.6944,200,0.6948
linear_ratio,625,10.304,10.308,20.612,0.4994,0.0000,0.5006,0.5737,-0.0012,169,20.744,0.0000,0.4667,200,0.8159,200,0.8170
quadratic_ratio,625,10.228,10.227,20.455,0.4998,0.0000,0.5002,0.7013,-0.0003,169,20.707,0.0000,0.5050,200,0.9211,200,0.9204
