linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
60,40,2,46,44,24.00,9.341,0.1453,0.6827,1.991,0.0453,0.0173,0.1328
70,30,8,36,28,22.00,8.608,0.1488,0.5840,1.258,0.0488,0.1160,0.1328
45,55,10,34,24,22.00,8.608,0.1488,0.5840,1.258,0.0488,0.1160,0.1328
40,60,10,34,24,22.00,8.608,0.1488,0.5840,1.258,0.0488,0.1160,0.1328
55,45,2,46,44,24.00,9.373,0.1445,0.6851,2.023,0.0445,0.0149,0.1330
65,35,2,46,44,24.00,9.294,0.1454,0.6737,1.944,0.0454,0.0263,0.1336
30,70,6,42,36,24.00,9.311,0.1457,0.6758,1.961,0.0457,0.0242,0.1339
55,45,10,34,24,22.00,8.593,0.1491,0.5791,1.243,0.0491,0.1209,0.1339
75,25,8,36,28,22.00,8.608,0.1493,0.5799,1.258,0.0493,0.1201,0.1345
45,55,4,44,40,24.00,9.358,0.1446,0.6786,2.008,0.0446,0.0214,0.1347
50,50,10,34,24,22.00,8.624,0.1492,0.5815,1.274,0.0492,0.1185,0.1347
30,70,4,28,24,16.00,6.156,0.1755,0.6152,1.194,0.0755,0.0848,0.1347
40,60,4,44,40,24.00,9.420,0.1439,0.6853,2.070,0.0439,0.0147,0.1350
40,60,0,48,48,24.00,9.372,0.1422,0.7247,2.022,0.0422,0.0247,0.1351
60,40,10,34,24,22.00,8.609,0.1490,0.5779,1.259,0.0490,0.1221,0.1351
70,30,5,41,36,23.00,8.976,0.1472,0.6264,1.626,0.0472,0.0736,0.1353
60,40,2,30,28,16.00,6.172,0.1754,0.6108,1.178,0.0754,0.0892,0.1353
35,65,4,28,24,16.00,6.156,0.1754,0.6125,1.194,0.0754,0.0875,0.1356
65,35,10,34,24,22.00,8.593,0.1489,0.5698,1.243,0.0489,0.1301,0.1370
50,50,4,44,40,24.00,9.376,0.1451,0.6730,2.026,0.0451,0.0270,0.1378
35,65,6,42,36,24.00,9.343,0.1464,0.6692,1.993,0.0464,0.0308,0.1383
35,65,0,48,48,24.00,9.324,0.1441,0.7383,1.974,0.0441,0.0383,0.1385
30,70,0,48,48,24.00,9.308,0.1435,0.7428,1.958,0.0435,0.0428,0.1390
70,30,2,46,44,24.00,9.343,0.1455,0.6657,1.993,0.0455,0.0343,0.1390
75,25,5,41,36,23.00,8.993,0.1474,0.6187,1.643,0.0474,0.0813,0.1390
70,30,10,34,24,22.00,8.577,0.1492,0.5621,1.227,0.0492,0.1379,0.1391
55,45,4,44,40,24.00,9.359,0.1451,0.6666,2.009,0.0451,0.0334,0.1392
70,30,2,30,28,16.00,6.203,0.1760,0.5951,1.147,0.0760,0.1049,0.1396
45,55,4,28,24,16.00,6.203,0.1760,0.5951,1.147,0.0760,0.1049,0.1396
40,60,4,28,24,16.00,6.203,0.1760,0.5951,1.147,0.0760,0.1049,0.1396
65,35,2,30,28,16.00,6.155,0.1766,0.6025,1.195,0.0766,0.0975,0.1398
50,50,4,28,24,16.00,6.220,0.1760,0.5919,1.130,0.0760,0.1081,0.1400
60,40,4,44,40,24.00,9.343,0.1459,0.6628,1.993,0.0459,0.0372,0.1402
75,25,2,46,44,24.00,9.360,0.1455,0.6642,2.010,0.0455,0.0358,0.1403
75,25,10,34,24,22.00,8.577,0.1500,0.5594,1.227,0.0500,0.1406,0.1406
75,25,2,30,28,16.00,6.204,0.1760,0.5901,1.146,0.0760,0.1099,0.1414
40,60,6,42,36,24.00,9.376,0.1460,0.6624,2.026,0.0460,0.0376,0.1420
45,55,6,42,36,24.00,9.343,0.1457,0.6571,1.993,0.0457,0.0429,0.1421
60,40,4,28,24,16.00,6.203,0.1760,0.5879,1.147,0.0760,0.1121,0.1421
45,55,3,47,44,25.00,9.724,0.1401,0.7000,2.374,0.0401,0.0000,0.1428
55,45,4,28,24,16.00,6.188,0.1766,0.5890,1.162,0.0766,0.1110,0.1429
55,45,1,49,48,25.00,9.707,0.1405,0.7039,2.357,0.0405,0.0039,0.1436
60,40,1,49,48,25.00,9.740,0.1402,0.7018,2.390,0.0402,0.0018,0.1443
35,65,1,29,28,15.00,5.803,0.1798,0.6452,1.547,0.0798,0.0548,0.1444
30,70,1,29,28,15.00,5.803,0.1798,0.6452,1.547,0.0798,0.0548,0.1444
65,35,4,44,40,24.00,9.376,0.1454,0.6540,2.026,0.0454,0.0460,0.1446
40,60,3,47,44,25.00,9.756,0.1398,0.7031,2.406,0.0398,0.0031,0.1452
65,35,1,49,48,25.00,9.709,0.1409,0.6922,2.359,0.0409,0.0078,0.1452
50,50,6,42,36,24.00,9.391,0.1455,0.6533,2.041,0.0455,0.0467,0.1457
65,35,4,28,24,16.00,6.188,0.1762,0.5802,1.162,0.0762,0.1198,0.1458
30,70,5,45,40,25.00,9.772,0.1396,0.6963,2.422,0.0396,0.0037,0.1462
30,70,8,40,32,24.00,9.392,0.1453,0.6498,2.042,0.0453,0.0502,0.1468
35,65,3,47,44,25.00,9.723,0.1398,0.7136,2.373,0.0398,0.0136,0.1472
45,55,1,49,48,25.00,9.707,0.1392,0.7174,2.357,0.0392,0.0174,0.1475
55,45,6,42,36,24.00,9.359,0.1460,0.6436,2.009,0.0460,0.0564,0.1478
40,60,1,29,28,15.00,5.803,0.1791,0.6337,1.547,0.0791,0.0663,0.1480
70,30,4,44,40,24.00,9.392,0.1459,0.6472,2.042,0.0459,0.0528,0.1481
35,65,8,40,32,24.00,9.392,0.1459,0.6472,2.042,0.0459,0.0528,0.1481
50,50,1,49,48,25.00,9.739,0.1396,0.7142,2.389,0.0396,0.0142,0.1482
50,50,3,47,44,25.00,9.804,0.1402,0.6933,2.454,0.0402,0.0067,0.1492
30,70,3,47,44,25.00,9.739,0.1395,0.7190,2.389,0.0395,0.0190,0.1498
70,30,4,28,24,16.00,6.171,0.1761,0.5705,1.179,0.0761,0.1295,0.1499
70,30,1,49,48,25.00,9.724,0.1422,0.6817,2.374,0.0422,0.0183,0.1504
40,60,8,40,32,24.00,9.360,0.1465,0.6357,2.010,0.0465,0.0643,0.1509
75,25,4,28,24,16.00,6.172,0.1759,0.5671,1.178,0.0759,0.1329,0.1509
60,40,6,42,36,24.00,9.376,0.1472,0.6390,2.026,0.0472,0.0610,0.1510
75,25,4,44,40,24.00,9.392,0.1469,0.6405,2.042,0.0469,0.0595,0.1511
35,65,5,45,40,25.00,9.820,0.1403,0.6900,2.470,0.0403,0.0100,0.1512
75,25,1,49,48,25.00,9.709,0.1429,0.6782,2.359,0.0429,0.0218,0.1513
60,40,3,47,44,25.00,9.740,0.1420,0.6805,2.390,0.0420,0.0195,0.1515
40,60,1,49,48,25.00,9.771,0.1385,0.7214,2.421,0.0385,0.0214,0.1517
45,55,1,29,28,15.00,5.771,0.1791,0.6267,1.579,0.0791,0.0733,0.1521
55,45,3,47,44,25.00,9.773,0.1416,0.6827,2.423,0.0416,0.0173,0.1522
65,35,6,42,36,24.00,9.360,0.1470,0.6326,2.010,0.0470,0.0674,0.1523
45,55,8,40,32,24.00,9.360,0.1470,0.6326,2.010,0.0470,0.0674,0.1523
65,35,3,47,44,25.00,9.693,0.1432,0.6714,2.343,0.0432,0.0285,0.1531
35,65,1,49,48,25.00,9.723,0.1389,0.7332,2.373,0.0389,0.0332,0.1536
40,60,5,45,40,25.00,9.821,0.1409,0.6830,2.471,0.0409,0.0170,0.1540
45,55,5,45,40,25.00,9.757,0.1421,0.6759,2.407,0.0421,0.0241,0.1540
55,45,1,29,28,15.00,5.771,0.1791,0.6207,1.579,0.0791,0.0793,0.1542
50,50,1,29,28,15.00,5.771,0.1791,0.6207,1.579,0.0791,0.0793,0.1542
30,70,1,49,48,25.00,9.707,0.1391,0.7375,2.357,0.0391,0.0375,0.1544
70,30,6,42,36,24.00,9.376,0.1465,0.6255,2.026,0.0465,0.0745,0.1553
30,70,3,27,24,15.00,5.755,0.1791,0.6175,1.595,0.0791,0.0825,0.1561
50,50,8,40,32,24.00,9.408,0.1467,0.6270,2.058,0.0467,0.0730,0.1565
35,65,3,27,24,15.00,5.755,0.1780,0.6141,1.595,0.0780,0.0858,0.1566
60,40,1,29,28,15.00,5.772,0.1790,0.6128,1.578,0.0790,0.0872,0.1568
50,50,5,45,40,25.00,9.773,0.1428,0.6706,2.423,0.0428,0.0294,0.1571
60,40,8,40,32,24.00,9.376,0.1467,0.6199,2.026,0.0467,0.0801,0.1574
55,45,8,40,32,24.00,9.408,0.1466,0.6229,2.058,0.0466,0.0771,0.1578
35,65,10,38,28,24.00,9.408,0.1466,0.6229,2.058,0.0466,0.0771,0.1578
30,70,10,38,28,24.00,9.408,0.1466,0.6229,2.058,0.0466,0.0771,0.1578
70,30,3,47,44,25.00,9.742,0.1436,0.6637,2.392,0.0436,0.0363,0.1584
65,35,8,40,32,24.00,9.343,0.1469,0.6125,1.993,0.0469,0.0875,0.1584
75,25,6,42,36,24.00,9.391,0.1463,0.6182,2.041,0.0463,0.0818,0.1585
55,45,5,45,40,25.00,9.758,0.1436,0.6640,2.408,0.0436,0.0360,0.1592
60,40,5,45,40,25.00,9.743,0.1436,0.6612,2.393,0.0436,0.0388,0.1594
75,25,3,47,44,25.00,9.757,0.1431,0.6621,2.407,0.0431,0.0379,0.1595
65,35,1,29,28,15.00,5.755,0.1798,0.6050,1.595,0.0798,0.0950,0.1609
70,30,1,29,28,15.00,5.804,0.1794,0.5962,1.546,0.0794,0.1038,0.1613
45,55,3,27,24,15.00,5.804,0.1794,0.5962,1.546,0.0794,0.1038,0.1613
40,60,3,27,24,15.00,5.804,0.1794,0.5962,1.546,0.0794,0.1038,0.1613
40,60,10,38,28,24.00,9.408,0.1470,0.6132,2.058,0.0470,0.0868,0.1615
50,50,3,27,24,15.00,5.820,0.1793,0.5930,1.530,0.0793,0.1070,0.1615
45,55,10,38,28,24.00,9.375,0.1464,0.6070,2.025,0.0464,0.0930,0.1617
55,45,2,50,48,26.00,10.108,0.1398,0.7006,2.758,0.0398,0.0006,0.1620
65,35,0,52,52,26.00,10.092,0.1393,0.7051,2.742,0.0393,0.0051,0.1625
75,25,1,29,28,15.00,5.804,0.1794,0.5911,1.546,0.0794,0.1089,0.1630
75,25,8,40,32,24.00,9.375,0.1466,0.6025,2.025,0.0466,0.0975,0.1633
70,30,8,40,32,24.00,9.375,0.1466,0.6025,2.025,0.0466,0.0975,0.1633
55,45,10,38,28,24.00,9.375,0.1466,0.6025,2.025,0.0466,0.0975,0.1633
50,50,10,38,28,24.00,9.375,0.1466,0.6025,2.025,0.0466,0.0975,0.1633
60,40,3,27,24,15.00,5.805,0.1788,0.5891,1.545,0.0788,0.1109,0.1633
65,35,5,45,40,25.00,9.775,0.1429,0.6528,2.425,0.0429,0.0472,0.1635
40,60,4,48,44,26.00,10.156,0.1388,0.6996,2.806,0.0388,0.0004,0.1637
45,55,4,48,44,26.00,10.124,0.1395,0.6964,2.774,0.0395,0.0036,0.1637
60,40,2,50,48,26.00,10.141,0.1395,0.6982,2.791,0.0395,0.0018,0.1639
70,30,0,52,52,26.00,10.140,0.1398,0.6981,2.790,0.0398,0.0019,0.1640
55,45,3,27,24,15.00,5.789,0.1796,0.5901,1.561,0.0796,0.1099,0.1643
35,65,4,48,44,26.00,10.123,0.1384,0.7097,2.773,0.0384,0.0097,0.1651
65,35,2,50,48,26.00,10.110,0.1388,0.6891,2.760,0.0388,0.0109,0.1651
45,55,2,50,48,26.00,10.107,0.1383,0.7126,2.757,0.0383,0.0126,0.1652
60,40,0,52,52,26.00,10.123,0.1385,0.7102,2.773,0.0385,0.0102,0.1653
60,40,10,38,28,24.00,9.376,0.1463,0.5955,2.026,0.0463,0.1045,0.1657
50,50,2,50,48,26.00,10.140,0.1389,0.7095,2.790,0.0389,0.0095,0.1661
70,30,5,45,40,25.00,9.792,0.1427,0.6471,2.442,0.0427,0.0529,0.1662
35,65,0,28,28,14.00,5.403,0.1855,0.6489,1.947,0.0855,0.0511,0.1666
30,70,0,28,28,14.00,5.403,0.1855,0.6489,1.947,0.0855,0.0511,0.1666
65,35,3,27,24,15.00,5.788,0.1785,0.5803,1.562,0.0785,0.1197,0.1670
30,70,4,48,44,26.00,10.139,0.1377,0.7145,2.789,0.0377,0.0145,0.1671
30,70,6,46,40,26.00,10.173,0.1396,0.6928,2.823,0.0396,0.0072,0.1674
65,35,10,38,28,24.00,9.359,0.1470,0.5886,2.009,0.0470,0.1114,0.1676
75,25,0,52,52,26.00,10.157,0.1404,0.6900,2.807,0.0404,0.0100,0.1681
75,25,5,45,40,25.00,9.792,0.1426,0.6405,2.442,0.0426,0.0595,0.1685
55,45,0,52,52,26.00,10.138,0.1373,0.7204,2.788,0.0373,0.0204,0.1689
40,60,2,50,48,26.00,10.171,0.1373,0.7171,2.821,0.0373,0.0171,0.1694
70,30,2,50,48,26.00,10.126,0.1390,0.6794,2.776,0.0390,0.0206,0.1694
50,50,4,48,44,26.00,10.205,0.1396,0.6901,2.855,0.0396,0.0099,0.1699
75,25,2,50,48,26.00,10.110,0.1393,0.6756,2.760,0.0393,0.0244,0.1701
40,60,0,28,28,14.00,5.403,0.1855,0.6385,1.947,0.0855,0.0615,0.1702
60,40,4,48,44,26.00,10.141,0.1399,0.6777,2.791,0.0399,0.0223,0.1713
45,55,0,52,52,26.00,10.090,0.1381,0.7333,2.740,0.0381,0.0333,0.1715
50,50,0,52,52,26.00,10.154,0.1376,0.7256,2.804,0.0376,0.0256,0.1718
70,30,3,27,24,15.00,5.772,0.1795,0.5710,1.578,0.0795,0.1290,0.1718
65,35,4,48,44,26.00,10.094,0.1395,0.6686,2.744,0.0395,0.0314,0.1719
35,65,2,50,48,26.00,10.121,0.1384,0.7298,2.771,0.0384,0.0298,0.1720
30,70,8,44,36,26.00,10.110,0.1395,0.6707,2.760,0.0395,0.0293,0.1720
55,45,4,48,44,26.00,10.174,0.1397,0.6796,2.824,0.0397,0.0204,0.1721
35,65,6,46,40,26.00,10.221,0.1398,0.6864,2.871,0.0398,0.0136,0.1722
70,30,10,38,28,24.00,9.407,0.1469,0.5811,2.057,0.0469,0.1189,0.1726
30,70,2,50,48,26.00,10.105,0.1388,0.7340,2.755,0.0388,0.0340,0.1729
45,55,6,46,40,26.00,10.158,0.1390,0.6735,2.808,0.0390,0.0265,0.1731
75,25,3,27,24,15.00,5.772,0.1799,0.5674,1.578,0.0799,0.1326,0.1733
40,60,6,46,40,26.00,10.222,0.1392,0.6796,2.872,0.0392,0.0204,0.1743
75,25,10,38,28,24.00,9.407,0.1469,0.5763,2.057,0.0469,0.1237,0.1743
45,55,0,28,28,14.00,5.370,0.1856,0.6308,1.980,0.0856,0.0692,0.1746
35,65,8,44,36,26.00,10.142,0.1385,0.6652,2.792,0.0385,0.0348,0.1749
50,50,6,46,40,26.00,10.174,0.1381,0.6682,2.824,0.0381,0.0318,0.1752
40,60,0,52,52,26.00,10.122,0.1385,0.7387,2.772,0.0385,0.0387,0.1752
70,30,4,48,44,26.00,10.142,0.1385,0.6616,2.792,0.0385,0.0384,0.1762
55,45,6,46,40,26.00,10.158,0.1378,0.6622,2.808,0.0378,0.0378,0.1763
35,65,0,52,52,26.00,10.122,0.1382,0.7444,2.772,0.0382,0.0444,0.1770
55,45,0,28,28,14.00,5.370,0.1859,0.6244,1.980,0.0859,0.0756,0.1770
50,50,0,28,28,14.00,5.370,0.1859,0.6244,1.980,0.0859,0.0756,0.1770
75,25,4,48,44,26.00,10.158,0.1379,0.6597,2.808,0.0379,0.0403,0.1772
30,70,0,52,52,26.00,10.106,0.1370,0.7499,2.756,0.0370,0.0499,0.1775
60,40,6,46,40,26.00,10.142,0.1392,0.6589,2.792,0.0392,0.0411,0.1775
40,60,8,44,36,26.00,10.175,0.1390,0.6589,2.825,0.0390,0.0411,0.1790
30,70,2,26,24,14.00,5.355,0.1861,0.6204,1.995,0.0861,0.0796,0.1793
45,55,8,44,36,26.00,10.143,0.1394,0.6540,2.793,0.0394,0.0460,0.1794
60,40,0,28,28,14.00,5.369,0.1860,0.6164,1.981,0.0860,0.0836,0.1799
65,35,1,53,52,27.00,10.492,0.1375,0.7021,3.142,0.0375,0.0021,0.1803
35,65,2,26,24,14.00,5.355,0.1862,0.6169,1.995,0.0862,0.0831,0.1806
65,35,6,46,40,26.00,10.174,0.1392,0.6508,2.824,0.0392,0.0492,0.1820
55,45,3,51,48,27.00,10.509,0.1385,0.6970,3.159,0.0385,0.0030,0.1821
45,55,5,49,44,27.00,10.525,0.1367,0.6934,3.175,0.0367,0.0066,0.1831
65,35,0,28,28,14.00,5.354,0.1853,0.6080,1.996,0.0853,0.0920,0.1832
50,50,8,44,36,26.00,10.190,0.1396,0.6498,2.840,0.0396,0.0502,0.1833
40,60,5,49,44,27.00,10.557,0.1366,0.6967,3.207,0.0366,0.0033,0.1834
70,30,0,28,28,14.00,5.403,0.1843,0.5985,1.947,0.0843,0.1015,0.1834
45,55,2,26,24,14.00,5.403,0.1843,0.5985,1.947,0.0843,0.1015,0.1834
40,60,2,26,24,14.00,5.403,0.1843,0.5985,1.947,0.0843,0.1015,0.1834
70,30,1,53,52,27.00,10.541,0.1371,0.6946,3.191,0.0371,0.0054,0.1836
30,70,10,42,32,26.00,10.190,0.1390,0.6479,2.840,0.0390,0.0521,0.1836
50,50,2,26,24,14.00,5.419,0.1839,0.5949,1.931,0.0839,0.1051,0.1837
60,40,3,51,48,27.00,10.541,0.1374,0.6946,3.191,0.0374,0.0054,0.1839
35,65,5,49,44,27.00,10.524,0.1377,0.7072,3.174,0.0377,0.0072,0.1839
60,40,1,53,52,27.00,10.524,0.1379,0.7079,3.174,0.0379,0.0079,0.1842
45,55,3,51,48,27.00,10.508,0.1383,0.7096,3.158,0.0383,0.0096,0.1842
70,30,6,46,40,26.00,10.190,0.1394,0.6450,2.840,0.0394,0.0550,0.1849
35,65,10,42,32,26.00,10.190,0.1394,0.6450,2.840,0.0394,0.0550,0.1849
50,50,3,51,48,27.00,10.540,0.1388,0.7068,3.190,0.0388,0.0068,0.1851
55,45,8,44,36,26.00,10.158,0.1406,0.6417,2.808,0.0406,0.0583,0.1852
65,35,3,51,48,27.00,10.511,0.1369,0.6850,3.161,0.0369,0.0150,0.1854
75,25,0,28,28,14.00,5.403,0.1846,0.5929,1.947,0.0846,0.1071,0.1856
30,70,5,49,44,27.00,10.541,0.1376,0.7121,3.191,0.0376,0.0121,0.1863
60,40,2,26,24,14.00,5.403,0.1846,0.5908,1.947,0.0846,0.1092,0.1863
55,45,2,26,24,14.00,5.387,0.1846,0.5919,1.963,0.0846,0.1081,0.1867
40,60,10,42,32,26.00,10.158,0.1393,0.6338,2.808,0.0393,0.0662,0.1872
60,40,8,44,36,26.00,10.174,0.1399,0.6369,2.824,0.0399,0.0631,0.1872
75,25,1,53,52,27.00,10.557,0.1370,0.6863,3.207,0.0370,0.0137,0.1874
75,25,6,46,40,26.00,10.191,0.1406,0.6383,2.841,0.0406,0.0616,0.1880
65,35,8,44,36,26.00,10.159,0.1393,0.6310,2.809,0.0393,0.0690,0.1882
45,55,10,42,32,26.00,10.159,0.1393,0.6310,2.809,0.0393,0.0690,0.1882
55,45,1,53,52,27.00,10.542,0.1375,0.7185,3.192,0.0375,0.0185,0.1885
40,60,3,51,48,27.00,10.574,0.1379,0.7150,3.224,0.0379,0.0150,0.1892
50,50,5,49,44,27.00,10.605,0.1364,0.6866,3.255,0.0364,0.0134,0.1893
70,30,3,51,48,27.00,10.526,0.1374,0.6758,3.176,0.0374,0.0242,0.1897
75,25,3,51,48,27.00,10.509,0.1377,0.6731,3.159,0.0377,0.0269,0.1900
65,35,2,26,24,14.00,5.388,0.1846,0.5819,1.962,0.0846,0.1181,0.1902
35,65,3,51,48,27.00,10.524,0.1370,0.7277,3.174,0.0370,0.0277,0.1906
45,55,1,53,52,27.00,10.491,0.1375,0.7318,3.141,0.0375,0.0318,0.1907
30,70,3,51,48,27.00,10.508,0.1364,0.7318,3.158,0.0364,0.0318,0.1909
50,50,1,53,52,27.00,10.557,0.1375,0.7241,3.207,0.0375,0.0241,0.1912
60,40,5,49,44,27.00,10.541,0.1377,0.6743,3.191,0.0377,0.0257,0.1912
70,30,8,44,36,26.00,10.175,0.1394,0.6240,2.825,0.0394,0.0760,0.1915
65,35,5,49,44,27.00,10.494,0.1385,0.6669,3.144,0.0385,0.0331,0.1919
55,45,5,49,44,27.00,10.574,0.1373,0.6761,3.224,0.0373,0.0239,0.1920
50,50,10,42,32,26.00,10.207,0.1394,0.6254,2.857,0.0394,0.0746,0.1926
40,60,1,53,52,27.00,10.524,0.1363,0.7372,3.174,0.0363,0.0372,0.1935
60,40,10,42,32,26.00,10.176,0.1395,0.6183,2.826,0.0395,0.0817,0.1936
55,45,10,42,32,26.00,10.208,0.1395,0.6216,2.858,0.0395,0.0784,0.1941
75,25,8,44,36,26.00,10.192,0.1389,0.6170,2.842,0.0389,0.0830,0.1945
65,35,10,42,32,26.00,10.145,0.1398,0.6114,2.795,0.0398,0.0886,0.1947
70,30,2,26,24,14.00,5.373,0.1849,0.5719,1.977,0.0849,0.1281,0.1947
35,65,1,53,52,27.00,10.524,0.1364,0.7430,3.174,0.0364,0.0430,0.1956
75,25,2,26,24,14.00,5.372,0.1849,0.5682,1.978,0.0849,0.1318,0.1959
70,30,5,49,44,27.00,10.542,0.1380,0.6604,3.192,0.0380,0.0396,0.1963
30,70,1,53,52,27.00,10.508,0.1364,0.7479,3.158,0.0364,0.0479,0.1965
75,25,5,49,44,27.00,10.558,0.1374,0.6592,3.208,0.0374,0.0408,0.1971
65,35,2,54,52,28.00,10.896,0.1364,0.6985,3.546,0.0364,0.0015,0.1997
75,25,10,42,32,26.00,10.177,0.1406,0.6016,2.827,0.0406,0.0984,0.2002
70,30,10,42,32,26.00,10.177,0.1406,0.6016,2.827,0.0406,0.0984,0.2002
35,65,6,50,44,28.00,10.928,0.1360,0.7030,3.578,0.0360,0.0030,0.2016
45,55,4,52,48,28.00,10.912,0.1358,0.7061,3.562,0.0358,0.0061,0.2017
55,45,4,52,48,28.00,10.911,0.1362,0.6944,3.561,0.0362,0.0056,0.2017
60,40,2,54,52,28.00,10.927,0.1364,0.7040,3.577,0.0364,0.0040,0.2021
50,50,4,52,48,28.00,10.944,0.1358,0.7033,3.594,0.0358,0.0033,0.2023
60,40,4,52,48,28.00,10.944,0.1360,0.6926,3.594,0.0360,0.0074,0.2038
30,70,6,50,44,28.00,10.944,0.1358,0.7080,3.594,0.0358,0.0080,0.2040
70,30,2,54,52,28.00,10.944,0.1359,0.6922,3.594,0.0359,0.0078,0.2040
45,55,6,50,44,28.00,10.928,0.1364,0.6905,3.578,0.0364,0.0095,0.2040
40,60,6,50,44,28.00,10.960,0.1366,0.6937,3.610,0.0366,0.0063,0.2047
65,35,4,52,48,28.00,10.912,0.1352,0.6836,3.562,0.0352,0.0164,0.2050
55,45,2,54,52,28.00,10.943,0.1353,0.7150,3.593,0.0353,0.0150,0.2061
40,60,4,52,48,28.00,10.976,0.1356,0.7109,3.626,0.0356,0.0109,0.2065
75,25,2,54,52,28.00,10.960,0.1350,0.6847,3.610,0.0350,0.0153,0.2068
30,70,8,48,40,28.00,10.976,0.1354,0.6874,3.626,0.0354,0.0126,0.2070
70,30,4,52,48,28.00,10.928,0.1349,0.6752,3.578,0.0349,0.0248,0.2085
75,25,4,52,48,28.00,10.912,0.1345,0.6717,3.562,0.0345,0.0283,0.2087
45,55,2,54,52,28.00,10.894,0.1357,0.7294,3.544,0.0357,0.0294,0.2089
50,50,2,54,52,28.00,10.959,0.1357,0.7206,3.609,0.0357,0.0206,0.2091
50,50,6,50,44,28.00,11.008,0.1352,0.6851,3.658,0.0352,0.0149,0.2092
60,40,6,50,44,28.00,10.944,0.1342,0.6736,3.594,0.0342,0.0264,0.2094
35,65,4,52,48,28.00,10.927,0.1363,0.7251,3.577,0.0363,0.0251,0.2094
30,70,4,52,48,28.00,10.912,0.1356,0.7294,3.562,0.0356,0.0294,0.2098
55,45,6,50,44,28.00,10.977,0.1340,0.6759,3.627,0.0340,0.0241,0.2102
30,70,10,46,36,28.00,10.912,0.1346,0.6670,3.562,0.0346,0.0330,0.2104
65,35,6,50,44,28.00,10.896,0.1350,0.6648,3.546,0.0350,0.0352,0.2106
35,65,8,48,40,28.00,11.024,0.1350,0.6823,3.674,0.0350,0.0177,0.2109
45,55,8,48,40,28.00,10.961,0.1344,0.6698,3.611,0.0344,0.0302,0.2118
40,60,2,54,52,28.00,10.927,0.1351,0.7349,3.577,0.0351,0.0349,0.2122
40,60,8,48,40,28.00,11.025,0.1343,0.6759,3.675,0.0343,0.0241,0.2128
35,65,10,46,36,28.00,10.944,0.1352,0.6617,3.594,0.0352,0.0383,0.2142
35,65,2,54,52,28.00,10.927,0.1352,0.7410,3.577,0.0352,0.0410,0.2143
50,50,8,48,40,28.00,10.977,0.1345,0.6642,3.627,0.0345,0.0358,0.2146
30,70,2,54,52,28.00,10.910,0.1352,0.7467,3.560,0.0352,0.0467,0.2155
70,30,6,50,44,28.00,10.944,0.1353,0.6579,3.594,0.0353,0.0421,0.2156
55,45,8,48,40,28.00,10.961,0.1351,0.6588,3.611,0.0351,0.0412,0.2160
60,40,8,48,40,28.00,10.944,0.1347,0.6552,3.594,0.0347,0.0448,0.2162
75,25,6,50,44,28.00,10.960,0.1349,0.6561,3.610,0.0349,0.0439,0.2168
65,35,3,55,52,29.00,11.296,0.1322,0.6981,3.946,0.0322,0.0019,0.2173
40,60,10,46,36,28.00,10.976,0.1340,0.6549,3.626,0.0340,0.0451,0.2175
45,55,10,46,36,28.00,10.944,0.1349,0.6502,3.594,0.0349,0.0498,0.2181
45,55,5,53,48,29.00,11.311,0.1322,0.7049,3.961,0.0322,0.0049,0.2191
60,40,3,55,52,29.00,11.327,0.1327,0.7030,3.977,0.0327,0.0030,0.2195
55,45,5,53,48,29.00,11.312,0.1333,0.6937,3.962,0.0333,0.0063,0.2203
50,50,5,53,48,29.00,11.343,0.1331,0.7024,3.993,0.0331,0.0024,0.2204
65,35,8,48,40,28.00,10.975,0.1350,0.6470,3.625,0.0350,0.0530,0.2208
70,30,3,55,52,29.00,11.344,0.1321,0.6916,3.994,0.0321,0.0084,0.2219
50,50,10,46,36,28.00,10.992,0.1354,0.6462,3.642,0.0354,0.0538,0.2222
60,40,5,53,48,29.00,11.344,0.1337,0.6908,3.994,0.0337,0.0092,0.2232
40,60,5,53,48,29.00,11.376,0.1321,0.7094,4.026,0.0321,0.0094,0.2238
55,45,10,46,36,28.00,10.960,0.1364,0.6389,3.610,0.0364,0.0611,0.2238
55,45,3,55,52,29.00,11.344,0.1333,0.7128,3.994,0.0333,0.0128,0.2241
70,30,8,48,40,28.00,10.991,0.1363,0.6418,3.641,0.0363,0.0582,0.2242
65,35,5,53,48,29.00,11.312,0.1339,0.6808,3.962,0.0339,0.0192,0.2252
35,65,5,53,48,29.00,11.327,0.1323,0.7221,3.977,0.0323,0.0221,0.2260
45,55,3,55,52,29.00,11.294,0.1329,0.7268,3.944,0.0329,0.0268,0.2263
50,50,3,55,52,29.00,11.359,0.1325,0.7188,4.009,0.0325,0.0188,0.2265
75,25,3,55,52,29.00,11.359,0.1335,0.6827,4.009,0.0335,0.0173,0.2266
60,40,10,46,36,28.00,10.976,0.1375,0.6343,3.626,0.0375,0.0657,0.2268
75,25,8,48,40,28.00,10.991,0.1372,0.6357,3.641,0.0372,0.0643,0.2269
30,70,5,53,48,29.00,11.311,0.1330,0.7265,3.961,0.0330,0.0265,0.2271
65,35,10,46,36,28.00,10.960,0.1368,0.6283,3.610,0.0368,0.0717,0.2276
40,60,3,55,52,29.00,11.326,0.1328,0.7325,3.976,0.0328,0.0325,0.2298
